id isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio
AL1 -18.71 14.42 -0.0874999999999065 0.201250000000009 3.240434669443
AL11 -18.73 14.36 -0.107500000000006 0.14124999999999 3.27377790539085
AL12 -18.16 15.07 0.570000000000017 0.270000000000008 3.28510938602682
AL13 -18.86 14.63 -0.237500000000012 0.411249999999997 3.26294989414255
AL14 -18.64 14.44 -0.0175000000000135 0.22125 3.3263943722633
AL2 -18.57 14.43 0.0524999999999872 0.211250000000002 3.24079040225829
AL21 -18.98 14.8 -0.250000000000004 1.99840144432528e-15 3.25553987297107
AL22 -18.89 14.39 -0.160000000000003 -0.410000000000002 3.275871886121
AL23 -19.01 14.61 -0.280000000000005 -0.190000000000002 3.27214835549335
AL24 -18.21 15.3 0.519999999999996 0.499999999999999 3.38563463905582
AL29 -19.16 14.66 -0.430000000000003 -0.140000000000002 3.28854961832061
AL3 -18.5 13.16 0.122499999999987 -1.05875 3.24693737095664
AL32 -18.73 15.17 -3.28730098697605e-15 0.369999999999998 3.275871886121
AL5 -18.25 14.12 0.372499999999987 -0.0987499999999998 3.24387271496276
AL6 -18.7 14.4 0.0299999999999979 -0.400000000000002 3.24489937543373
AL7 -18.72 14.19 -0.0975000000000117 -0.0287499999999995 3.23255333792154
CL11 -17.13 12.68 1.19333333333333 0.774666666666667 3.24079040225829
CL12 -17.48 12.4 0.843333333333333 0.494666666666667 3.25752274317705
CL17 -18.58 12.35 -0.256666666666665 0.444666666666666 3.25017494751574
CL19 -19.05 13.24 -0.577777777777779 1.38 3.22377224199288
CL21 -18.22 12.37 0.252222222222223 0.509999999999999 3.24922163492868
CL23 -18.65 13.42 -0.177777777777777 1.56 3.26099644128114
CL24 -16.98 12.35 1.34333333333333 0.444666666666666 3.21856033874383
CL25 -18.08 10.49 0.392222222222224 -1.37 3.26099644128114
CL27 -18.24 12.47 0.0833333333333346 0.564666666666667 3.33256100209978
CL28 -18.69 13.3 -0.217777777777779 1.44 3.26480055983205
CL29 -18.95 10.36 -0.477777777777777 -1.5 3.24812985179958
CL31 -20.79 11.32 -2.46666666666667 -0.585333333333333 3.24604982206406
CL38 -17.37 12.51 0.953333333333332 0.604666666666667 3.20860513532269
CL39 -20.86 9.68 -2.38777777777778 -2.18 3.23864768683274
CL40 -19.3 11.55 -0.976666666666668 -0.355333333333332 3.2311743772242
CL41 -18.42 9.18 -0.0966666666666686 -2.72533333333333 3.31139185988084
CL42 -18.47 12.9 0.00222222222222303 1.04 3.2333803810868
CL45 -15.28 10.98 3.19222222222222 -0.879999999999999 3.24207848276925
CL47 -18.33 9.65 -0.00666666666666521 -2.25533333333333 3.24377288062594
CL50 -16.8 11.95 1.52333333333333 0.0446666666666661 3.25476590460887
CL53 -17.8 12.37 0.523333333333332 0.464666666666666 3.22597035991531
CL54 -18.88 12.46 -0.556666666666666 0.554666666666668 3.27003140749397
CL58 -19.68 12.95 -1.35666666666667 1.04466666666667 3.32982094171395
CL9 -19.07 12.39 -0.746666666666667 0.484666666666667 3.27377790539085
LN1 -20.57 11.52 -0.134166666666667 0.0524999999999995 3.23554933519944
LN10 -20.68 11.46 -0.244166666666666 -0.00749999999999926 3.20384176237491
LN11 -20.58 11.62 -0.144166666666665 0.152499999999999 3.31616515045486
LN12 -20.38 11.25 0.0558333333333343 -0.2175 3.3255620316403
LN13 -20.61 11.46 -7.89472653917045e-15 -3.18842174884537e-15 3.2793500338524
LN14 -20.9 11.99 -0.464166666666665 0.5225 3.21087405368204
LN15 -20.32 11.54 0.115833333333333 0.072499999999999 3.23971094287681
LN16 -20.72 11.66 -0.284166666666666 0.1925 3.38434965455092
LN17 -19.74 11.46 0.695833333333335 -0.00749999999999926 3.26631254037757
LN18 -19.99 11.2 0.445833333333335 -0.267500000000001 3.27577426015141
LN19 -20.87 11.81 -0.434166666666668 0.3425 3.3321998612075
LN2 -20.42 11.4 0.0158333333333316 -0.0674999999999997 3.24693737095664
LN20 -19.85 12.05 0.585833333333332 0.582500000000001 3.21087405368204
LN21 -20.1 11.18 0.335833333333332 -0.2875 3.3113044782837
LN22 -20.08 11.24 0.355833333333335 -0.2275 3.21070234113712
LN23 -20.41 11.25 0.0258333333333332 -0.2175 3.21810048176187
LN24 -19.99 11.35 0.445833333333335 -0.1175 3.22750853242321
LN25 -20.1 11.76 0.335833333333332 0.2925 3.2341261909521
LN3 -20.27 11.65 0.165833333333334 0.1825 3.26846975088968
LN4 -21.3 11.65 -0.864166666666668 0.1825 3.22820153953814
LN5 -21.23 10.4 -0.794166666666667 -1.0675 3.26099644128114
LN6 -20.48 11.47 -0.0441666666666671 0.00250000000000054 3.27028934368384
LN7 -20.49 11.32 -0.0541666666666652 -0.1475 3.28709000072406
LN8 -20.84 11.69 -0.404166666666667 0.222499999999999 3.24922163492868
LN9 -20.15 11.3 0.285833333333335 -0.167499999999999 3.23198334340789
SF1 -18.42 14.25 0.377999999999998 0.566 3.43245551601423
SF10 -18.35 14.34 0.447999999999998 0.656 3.35283414975507
SF12 -19.53 12.76 -0.867000000000001 -0.833 3.4182074805928
SF2 -18.48 14.13 0.182999999999999 0.537000000000001 3.27397640527411
SF22 -18.56 14 0.238000000000001 0.316 3.35529650278763
SF23 -18.08 13.66 0.583000000000002 0.0670000000000003 3.26668979875087
SF24 -17.46 14.32 1.203 0.727 3.31183757742601
SF25 -18.49 13.12 0.173000000000001 -0.473000000000001 3.35283414975507
SF27 -18.98 12.76 -0.182000000000001 -0.924 3.33206019402643
SF28 -19.01 13.59 -0.212000000000002 -0.094 3.35512732278045
SF29 -18.88 13.86 -0.216999999999999 0.267 3.35165843330981
SF3 -18.4 13.91 0.263000000000001 0.317 3.3959972500191
SF30 -19.51 13.29 -0.712000000000002 -0.394000000000001 3.36127689104788
SF32 -17.58 14.18 1.218 0.496 3.26513202437373
SF33 -18.73 13.61 -0.0670000000000005 0.0169999999999996 3.39597741707833
