id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio csize PC1 PC2 PC3 PC4 PC5 PC6 egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic joint_sex raker_long_count raker_short_count plate_count
AL1 AL 2014 AN cmn cmn F 1 160.641319689485 104 163.28755733945 180 166.882740825688 178 490.811617854622 490.811617854622 -18.71 14.42 -0.0874999999999065 0.201250000000009 3.240434669443 NA NA NA NA NA NA NA 1.36 0.171269767715535 103 3.093 F NA NA NA 6.01 1.43 1.42 0.70065721 0.708 0.203089835 0.921985816 F NA NA NA
AL11 AL 2014 AN cmn cmn F 1 159.566672714078 181 153.469226233672 156 150.16194212627 153 463.19784107402 463.19784107402 -18.73 14.36 -0.107500000000006 0.14124999999999 3.27377790539085 NA NA NA NA NA NA NA 1.485 0.0579750904364203 80 3.45 F NA NA NA 5.91 1.31 1.4 0.413532981 0.468 0.166019323 0.734562458 F NA NA NA
AL12 AL 2014 AN cmn cmn M 1 153.609541420118 167 152.816198224852 162 151.590828402367 159 458.016568047337 458.016568047337 -18.16 15.07 0.570000000000017 0.270000000000008 3.28510938602682 NA NA NA NA NA NA NA NA NA NA NA M 5.1 1.25 0.684 4.97 1.13 1.1 0.672372228 0.637 0.121991227 0.979425473 M NA NA NA
AL13 AL 2014 AN cmn cmn F 1 163.040208333333 184 162.306067708333 179 163.02234375 172 488.368619791667 488.368619791667 -18.86 14.63 -0.237500000000012 0.411249999999997 3.26294989414255 NA NA NA NA NA NA NA 1.29 0.119721899973786 73 3.724 F NA NA NA 5.75 1.32 1.37 0.594174915 0.598 0.192190205 0.803162298 F NA NA NA
AL14 AL 2014 AN cmn cmn F 1 180.238659793814 196 180.282139175258 190 180.408427835052 189 540.929226804124 540.929226804124 -18.64 14.44 -0.0175000000000135 0.22125 3.3263943722633 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.58 1.39 1.41 0.562016118 0.635 0.197051613 0.755091475 F NA NA NA
AL2 AL 2014 AN cmn cmn F 1 146.421854332011 103 142.359685019841 168 140.363405257937 158 429.144944609788 429.144944609788 -18.57 14.43 0.0524999999999872 0.211250000000002 3.24079040225829 NA NA NA NA NA NA NA 1.62 0.0788810637746615 139 3.995 F NA NA NA 5.79 1.38 1.45 0.603447665 0.652 0.197051613 0.938829014 F NA NA NA
AL21 AL 2014 AN cmn cmn M 1 168.65103125 98 168.8315 103 170.38871875 181 507.87125 507.87125 -18.98 14.8 -0.250000000000004 1.99840144432528e-15 3.25553987297107 NA NA NA NA NA NA NA NA NA NA NA M 4.95 0.85 0.639 5.18 1.25 1.21 0.505092199 0.419 0.146037825 0.908243499 M NA NA NA
AL22 AL 2014 AN cmn cmn M 1 163.076887013596 178 164.279711673699 168 165.128164556962 164 492.484763244257 492.484763244257 -18.89 14.39 -0.160000000000003 -0.410000000000002 3.275871886121 NA NA NA NA NA NA NA NA NA NA NA M 6 1.175 0.61 5.35 1.31 1.24 NA NA 0 NA M NA NA NA
AL23 AL 2014 AN cmn cmn M 1 166.552335526316 175 166.033421052632 168 166.551348684211 165 499.137105263158 499.137105263158 -19.01 14.61 -0.280000000000005 -0.190000000000002 3.27214835549335 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.2 1.23 1.21 0.568027364 0.685 0.139685564 0.993719315 M NA NA NA
AL24 AL 2014 AN cmn cmn M 1 163.18335443038 174 162.110759493671 165 161.852056962025 162 487.146170886076 487.146170886076 -18.21 15.3 0.519999999999996 0.499999999999999 3.38563463905582 NA NA NA NA NA NA NA NA NA NA NA M 6 1.55 0.944 5.33 1.26 1.23 NA NA 0 NA M NA NA NA
